PartitionKey,RowKey,Company,DisplayName,GUID,Token
ForceGraph1449359463895,81,Microsoft,Force-Directed Graph,ForceGraph1449359463895,Microsoft
ForecastUsingNeuralNetworkC3FF19A2F6084F9DB72C16B27773958,82,MAQ Software,Forecast using Neural Network by MAQ Software,ForecastUsingNeuralNetworkC3FF19A2F6084F9DB72C16B27773958,MAQ Software
Gantt1448688115699,87,Microsoft,Gantt,Gantt1448688115699,Microsoft
GanttChartByMAQSoftware1448688115701,88,MAQ LLC,Gantt Chart By MAQ Software,GanttChartByMAQSoftware1448688115701,MAQ LLC
GapAnalysis1451400925949,90,AllAboutData,GapAnalysis,GapAnalysis1451400925949,AllAboutData
GlobeMap1447669447625,92,Microsoft,Globe Map,GlobeMap1447669447625,Microsoft
HierarchySlicer1458836712039,100,Jan Pieter Posthuma,HierarchySlicer,HierarchySlicer1458836712039,Jan Pieter Posthuma
Histogram1445664487616,101,Microsoft,Histogram Chart,Histogram1445664487616,Microsoft
HorizontalFunnel1449177164235,104,MAQ LLC,Horizontal Funnel by MAQ Software,HorizontalFunnel1449177164235,MAQ LLC
ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,109,Fredrik HedenstrAm,Image Grid,ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,Fredrik HedenstrAm
ImgViewerVisual1455487926945,111,Lukasz Pawlowski,Image Viewer,ImgViewerVisual1455487926945,Lukasz Pawlowski
KPIColumn1823AB39DB23410928ADF752BCB2A457,116,MAQ LLC,KPI Column by MAQ Software,KPIColumn1823AB39DB23410928ADF752BCB2A457,MAQ LLC
KPIGrid39FBAB0336346DBB68AB522063E7241,117,MAQ LLC,KPI Grid,KPIGrid39FBAB0336346DBB68AB522063E7241,MAQ LLC
KPIStatusWithHistory1446562283967,118,Fredrik HedenstrAm,KPI Indicator,KPIStatusWithHistory1446562283967,Fredrik HedenstrAm
LineDotChart1460463831201,122,Microsoft,LineDot Chart,LineDotChart1460463831201,Microsoft
LinearGauge1450736844786,121,MAQ LLC,Linear Gauge by MAQ Software,LinearGauge1450736844786,MAQ LLC
LongTextViewer1453740445633,124,Lukasz Pawlowski,Long Text Viewer,LongTextViewer1453740445633,Lukasz Pawlowski
MekkoChart1449744733038,127,Microsoft,Mekko Chart,MekkoChart1449744733038,Microsoft
NetworkNavigator1550434005853,129,MSR,Network Navigator Chart,NetworkNavigator1550434005853,MSR
PBI_3AGSystems_0B9C9FBA_15A2_4A94_8AE4_8F778869B190,41,3AG Systems,Column chart with variance,PBI_3AGSystems_0B9C9FBA_15A2_4A94_8AE4_8F778869B190,3AG Systems
PBI_CV_16948668_E17D_454B_8664_2F2C470EA8C1,136,Margarida Prozil Vieita,Play Axis (Dynamic Slicer),PBI_CV_16948668_E17D_454B_8664_2F2C470EA8C1,Margarida Prozil Vieita
PBI_CV_25997FEB_F466_44FA_B562_AC4063283C4C,164,OKViz,Sparkline by OkViz,PBI_CV_25997FEB_F466_44FA_B562_AC4063283C4C,OKViz
PBI_CV_309E6B47_39A5_4681_808F_132AFB230860,94,MAQ LLC,Grid by MAQ Software,PBI_CV_309E6B47_39A5_4681_808F_132AFB230860,MAQ LLC
PBI_CV_309E6B47_39A5_4681_808F_132AFB230872,178,MAQ LLC,Thermometer by MAQ Software,PBI_CV_309E6B47_39A5_4681_808F_132AFB230872,MAQ LLC
PBI_CV_32852E50B30D4D70ACC1C55C87F71ED0,5,Managility,Agility Planning Matrix Light,PBI_CV_32852E50B30D4D70ACC1C55C87F71ED0,Managility
PBI_CV_3C80B1F2_09AF_4123_8E99_C3CBC46B23E0,63,Microsoft,Dual KPI,PBI_CV_3C80B1F2_09AF_4123_8E99_C3CBC46B23E0,Microsoft
PBI_CV_3EEA6E26_A754_4ECA_BE51_C93859851FB2,9,Microsoft,Association rules,PBI_CV_3EEA6E26_A754_4ECA_BE51_C93859851FB2,Microsoft
